category_id,category_name
3,"Bières et vins"
4,"Biscuits, collations et friandises"
5,"Boissons, eau et jus"
6,"Boulangerie et pâtisserie"
8,"Café, thé et tisanes"
9,Charcuterie
10,"Confitures, tartinades et sirops"
11,"Fruits de mer et poissons"
12,"Fruits, légumes et noix"
13,"Pâtes, farine et oeufs"
15,"Produits laitiers"
16,"Céréales, gruau et riz"
17,Viandes
18,Volaille
20,"Produits pour les animaux"
21,"Soins du corps"
22,"Produits ménagers"
23,"Contenants, outils et papiers"
340,"Condiments, huiles et sauces"
452,"Conserves, prêt-à-manger et soupes"
520,Divers
612,"Aliments surgelés"
648,"Produits pour les bébés"
